category,title,description,longitude,latitude,image
Shopping,Ameya-yokochō,"Step into this partially open-air market paralleling and beneath the JR line tracks, and ritzy, glitzy Tokyo feels like a distant memory. It got its start as a black market, post-WWII, when American goods (which included ameya – candy and chocolates) – were sold here. Today you can pick up everything from fresh seafood to vintage jeans and bargain sneakers.",139.774804,35.709026,https://lonelyplanetimages.imgix.net/mastheads/GettyImages-84148518_master.jpg?fit=crop&w=320&h=140
Shopping,Beams Japan,"Beams, a national chain of trend-setting boutiques, is a Japanese cultural institution and this multistorey Shinjuku branch has a particular audience in mind: you, the traveller. It's full of the latest Japanese streetwear labels, traditional fashions with cool modern twists, artisan crafts, pop art and more – all contenders for that perfect only-in-Tokyo souvenir. Warning: set your budget before you enter.",139.704123,35.690407,
Attractions,Inokashira-kōen,"One of Tokyo's best parks, Inokashira-kōen has a big pond in the middle flanked by woodsy strolling paths. You can rent row boats (¥700 per hour) and swan-shaped pedal boats to take out onto the water (¥700 per 30 minutes). On weekends look for musicians, puppeteers and other assorted performance artists around the park, as well as with lots of Tokyoites of all ages. And don't miss the ancient shrine to the sea goddess Benzaiten.",139.578166,35.700418,
Attractions,Rikugi-en,"Considered by many to be Tokyo's most elegant garden, Rikugi-en was originally completed in 1702, at the behest of a feudal lord. It is definitely the most highbrow, designed to evoke scenes from classical literature and mythology. But no context is necessary to appreciate the wooded walkways, stone bridges, central pond, trickling streams and wooden teahouses of this beautifully preserved garden. At one teahouse you can drink matcha (powdered green tea; ¥510) al fresco while overlooking the water.",139.747488,35.731926,
Attractions,Sensō-ji,"Tokyo’s most visited temple enshrines a golden image of Kannon (the Buddhist goddess of mercy), which, according to legend, was miraculously pulled out of the nearby Sumida-gawa by two fishermen in AD 628. The image has remained on the spot ever since but is never on public display. The present structure dates from 1958.",139.796669972778,35.7147708420353,https://lonelyplanetimages.imgix.net/mastheads/66704207.jpg?fit=crop&w=320&h=140
Attractions,Shibuya Crossing,"Rumoured to be the busiest intersection in the world (and definitely in Japan), Shibuya Crossing is like a giant beating heart, sending people in all directions with every pulsing light change. Perhaps nowhere else says ‘Welcome to Tokyo’ better than this. Hundreds of people – and at peak times upwards of 3000 people – cross at a time, coming from all directions at once, yet still managing to dodge each other with a practised, nonchalant agility.",139.700561,35.659388,https://lonelyplanetimages.imgix.net/a/g/hi/t/c8ff725a7ba976d308ec751bc67e04de-shibuya-crossing.jpg?fit=crop&w=320&h=140
Attractions,Meiji-jingū,"Tokyo’s grandest Shintō shrine is dedicated to the Emperor Meiji and Empress Shōken, whose reign (1868–1912) coincided with Japan's transformation from isolationist, feudal state to modern nation. Constructed in 1920, the shrine was destroyed in WWII air raids and rebuilt in 1958; however, unlike so many of Japan’s postwar reconstructions, Meiji-jingū has atmosphere in spades. Note that the shrine is currently undergoing renovations bit by bit in preparation for its 100th anniversary, but will remain open.",139.69952,35.675357,https://lonelyplanetimages.imgix.net/a/g/hi/t/238f9f2e0e159238428ac00cf7fc23a9-meiji-jingu.jpg?fit=crop&w=320&h=140
Attractions,Hama-rikyū Onshi-teien,"This beautiful garden, one of Tokyo’s finest, is all that remains of a shogunate palace that was also an outer fort for Edo castle. The main features are a large duck pond with an island that’s home to a functioning tea pavilion, Nakajima no Ochaya, as well as three other teahouses and wonderfully manicured trees (black pine, Japanese apricot, hydrangeas etc), some of which are hundreds of years old.",139.763625,35.660635,https://lonelyplanetimages.imgix.net/mastheads/558987473_full.jpg?fit=crop&w=320&h=140
Restaurants,Narukiyo,"Cult favourite izakaya (Japanese pub-eatery), Narukiyo serves seasonal Japanese cuisine with creative panache. The menu, which changes daily, is handwritten on a scroll and totally undecipherable; say the magic word, omakase (chef's choice; and set a price cap, say ¥5000 or ¥7000 per person) and trust that you're in good hands. Reservations recommended.",139.707942,35.660487,
Nightlife,These,"Pronounced teh-zeh, this quirky, nook-ridden 'library lounge' overflows with armchairs, sofas, and books on the shelves and on the bar. Imbibe champagne by the glass, whiskies or seasonal-fruit cocktails. Look for the flaming torches outside.",139.722254,35.660984,
Shopping,Mitsukoshi,"Mitsukoshi's venerable Nihombashi branch was Japan’s first department store. It's a grand affair with an entrance guarded by bronze lions and a magnificent statue of Magokoro, the Goddess of Sincerity, rising up from the centre of the ground floor. For the full effect, arrive at 10am for the bells and bows that accompany each day’s opening.",139.77386,35.685658,https://lonelyplanetimages.imgix.net/a/g/hi/t/23b111ee758f1db99ae926fb202fe068-lpl-img_0425.jpg?fit=crop&w=320&h=140
Entertainment,Shinjuku Pit Inn,"This is Tokyo's best jazz spot: intimate, unpretentious and with an always solid line-up of influential, avant-garde, crossover and up-and-coming musicians from Japan and abroad. If you're already a fan of jazz, you'll want to make it a point to visit; and if you're not, Pit Inn is the kind of place that just might win you over.",139.707234,35.690642,
Shopping,2k540 Aki-Oka Artisan,"This ace arcade under the JR tracks (its name refers to the distance from Tokyo Station) offers an eclectic range of stores selling Japanese-made goods – everything from pottery and leatherwork to cute aliens, a nod to Akihabara from a mall that is more akin to Kyoto than Electric Town. The best for colourful crafts is Nippon Hyakkuten (日本百貨店; http://nippon-dept.jp).",139.774149,35.703398,
Nightlife,Ghetto,"Ghetto – the name comes from the characters for 'moon' (ge) and 'light' (to) – is one of the little bars inside Shimo-Kitazawa's iconic (and rickety) Suzunari theatre complex. Each night a different character is behind the counter; on the other side, a mix of local creatives and travellers. By open until late we mean very, very late. No cover charge; drinks from ¥600.",139.670348,35.662527,
Shopping,Itōya,"Explore the nine floors (plus several more in the nearby annex) of stationery at this famed, century-old Ginza establishment. There are everyday items (such as notebooks and greeting cards) and luxuries (fountain pens and Italian leather agendas). You'll also find washi (fine Japanese handmade paper), tenugui (beautifully hand-dyed thin cotton towels) and furoshiki (wrapping cloths).",139.76723096766,35.6730718403992,
Entertainment,Kabukiza,"The flamboyant facade of this venerable theatre is fitting for the extravagant dramatic flourishes that are integral to the traditional performing art of kabuki. Check the website for performance details and to book tickets; you'll also find an explanation about cheaper one-act, day seats.",139.767734,35.669325,https://lonelyplanetimages.imgix.net/a/g/hi/t/be4fe8896a7d294575eebd0cc03cda01-kabuki-za.jpg?fit=crop&w=320&h=140
Shopping,Takumi,"You're unlikely to find a more elegant selection of traditional folk crafts, including toys, textiles and ceramics from around Japan. Ever thoughtful, this shop also encloses information detailing the origin and background of the pieces if you make a purchase.",139.760202,35.669543,
Attractions,Ukiyo-e Ōta Memorial Museum of Art,"This small museum (where you swap your shoes for slippers) is the best place in Tokyo to see ukiyo-e (woodblock prints). Each month it presents a seasonal, thematic exhibition (with English curation notes), drawing from the truly impressive collection of Ōta Seizo, the former head of the Toho Life Insurance Company. Most exhibitions include a few works by masters such as Hokusai and Hiroshige. The museum closes the last few days of the month (between exhibitions).",139.704901039543,35.6695722090912,
Shopping,Arts & Science,"Strung along the 1st floor of a mid-century apartment (across from the Nezu Museum) is a collection of small boutiques from celebrity stylist Sonya Park. Park's signature style is a vintage-inspired minimalism in luxurious, natural fabrics. Homewares, too.",139.716729,35.662439,
Shopping,Coredo Muromachi,"Spread over three buildings, this stylish development houses many shops from famous gourmet food purveyors, as well as reliable places to eat and drink. In Coredo Muromachi 3 are elegant fashion and homewares boutiques, including a branch of Muji.",139.774107,35.686215,
Shopping,Tokyu Hands,"This DIY and zakka (miscellaneous things) store has eight fascinating floors of everything you didn’t know you needed – reflexology slippers, bee-venom face masks and cartoon-character-shaped rice-ball moulds, for example. Most stuff is inexpensive, making it perfect for souvenir- and gift-hunting. Warning: you could lose hours in here.",139.697635318426,35.6621049547073,
Nightlife,Cha Ginza,"Take a pause for afternoon tea (¥700 to ¥1400) at this slick contemporary tea salon. The menu is seasonal, but will likely include a cup of perfectly prepared matcha (powdered green tea) and a small sweet or two, or a choice of sencha (premium green tea). The ground-floor shop sells top-quality teas from various growing regions in Japan.",139.763861,35.671522,
Attractions,Ghibli Museum,"Master animator Miyazaki Hayao, whose Studio Ghibli produced Princess Mononoke and Spirited Away, designed this museum. Fans will enjoy the original sketches; kids, even if they’re not familiar with the movies, will fall in love with the fairy-tale atmosphere (and the big cat bus). Don’t miss the original 20-minute animated short playing on the 1st floor. Tickets must be purchased in advance, and you must choose the exact time and date you plan to visit.",139.570434,35.696229,https://lonelyplanetimages.imgix.net/a/g/hi/t/dbb772ff389c9d82acf4b25912964d0e-ghibli-museum.jpg?fit=crop&w=320&h=140
Shopping,Marugoto Nippon,"Think of this as a mini mall, showcasing the best of Japan's speciality food and drink (ground floor) and arts and crafts (2nd floor). The 3rd floor showcases the products and attractions of different regions from around the country on a regularly changing basis.",139.793397,35.713791,
Attractions,Imperial Palace,"The Imperial Palace occupies the site of the original Edo-jō, the Tokugawa shogunate's castle. In its heyday this was the largest fortress in the world, though little remains of it today apart from the moat and stone walls. Most of the 3.4-sq-km complex is off-limits, as this is the emperor's home, but you can join one of the free tours organised by the Imperial Household Agency to see a small part of the inner compound.",139.753196,35.682538,https://lonelyplanetimages.imgix.net/a/g/hi/t/e1b16322c7024e8ac65337420816e1e5-imperial-palace.jpg?fit=crop&w=320&h=140
Attractions,Yoyogi-kōen,"If it’s a sunny and warm weekend afternoon, you can count on there being a crowd lazing around the large grassy expanse that is Yoyogi-kōen. You can also usually find revellers and noisemakers of all stripes, from hula-hoopers to African drum circles to a group of retro greasers dancing around a boom box. It’s an excellent place for a picnic and probably the only place in the city where you can reasonably toss a Frisbee without fear of hitting someone.",139.696487839261,35.6688490954208,https://lonelyplanetimages.imgix.net/a/g/hi/t/7bfff20f4168e8b9c1f01531db567072-lpl-00569.jpg?fit=crop&w=320&h=140
Shopping,Mandarake Complex,"This is the original Mandarake, the go-to store for all things manga (Japanese comics) and anime (Japanese animation). Once a small, second-hand comic-book store, Mandarake now has some 25 shops just inside the Nakano Broadway shopping centre. Each specialises in something different, be it books, cel art or figurines.",139.666175,35.70859,
Entertainment,Ryōgoku Kokugikan,"If you’re in town when a tournament is on, don't miss the chance to catch the big boys of Japanese wrestling in action at the country's largest sumo stadium. The key spectacle is around 3.45pm when the makuuchi (top division) wrestlers in elaborately decorated aprons parade into the ring. Tickets can be bought online one month before the start of the tournament.",139.793517,35.696965,https://lonelyplanetimages.imgix.net/a/g/hi/t/2044e3941057a64cf2fdfb85cd24c5f0-ryogoku-kokugikan.jpg?fit=crop&w=320&h=140
Attractions,Tsukiji Market,"Tightly packed rows of vendors hawk market and culinary-related goods here, such as dried fish, seaweed, kitchen knives, rubber boots and crockery. It's also a fantastic place to eat, with great street food and a huge concentration of small restaurants and cafes, most specialising in seafood.",139.770628882076,35.6651662997276,
Attractions,Fukagawa Fudō-dō,"Belonging to the esoteric Shingon sect, at this active temple you can attend one of the city's most spectacular religious rituals. Goma (fire rituals) take place daily in an auditorium in the Hondō (Main Hall) at 9am, 11am, 1pm, 3pm and 5pm, plus 7pm on festival days (1st, 15th and 28th of each month). Sutras are chanted, giant taiko drums are pounded and flames are raised on the main altar as an offering to the deity.",139.79697,35.672681,
Attractions,Tokyo University,"Tokyo University (commonly called Tōdai) was founded in 1877 and is Japan's top university. The attractive and leafy campus occupies what was once the estate of the Maeda clan; the Aka-mon (Red Gate) entrance on Hongo-dōri was once part of the clan's villa. Just to the left of this you'll find the Communication Center (open 10am to 6pm Monday, Tuesday and Thursday to Saturday), where you can buy Tōdai products and pick up a map of the campus.",139.762176,35.71292,
Shopping,House @Mikiri Hassin,"Hidden deep in Ura-Hara (Harajuku's backstreet area), House stocks an ever-changing selection of experimental Japanese fashion brands. Contrary to what the cool merch might suggest, the sales clerks are polite and friendly – grateful, perhaps, that you made the effort to find the place. Look for 'ハウス' spelled vertically in neon.",139.707663,35.664802,
Attractions,"Asakura Museum of Sculpture, Taitō","Sculptor Asakura Fumio (artist name Chōso; 1883–1964) designed this atmospheric house himself. It combined his original Japanese home and garden with a large studio that incorporated vaulted ceilings, a 'sunrise room' and a rooftop garden with wonderful neighbourhood views. It's now a reverential museum with many of the artist's signature realist works, mostly of people and cats, on display.",139.768463,35.727022,
Shopping,d47 design travel store,"The folks behind the D&D Department lifestyle brand and magazine are expert scavengers, searching Japan's nooks and crannies for outstanding examples of craftsmanship – be it ceramics from Ishikawa-ken or linens from Fukui-ken. An ever-changing selection of finds are on sale in this small store.",139.703318,35.65883,
Attractions,National Museum of Emerging Science & Innovation (Miraikan),"Miraikan means ‘hall of the future’, and the hands-on exhibits here present the science and technology that will possibly shape the years to come. Don't miss the demonstrations of humanoid robot ASIMO (11am, 1pm, 2pm and 4pm) and the lifelike android Otonaroid (demonstration 11.30am; interactive experience 3pm to 5pm). The Gaia dome theatre/planetarium (adult/child ¥300/100) has an English audio option and is popular; book online one week in advance. A multilingual smartphone app makes a game out of visiting.",139.775441213599,35.6190360340824,
Attractions,Tokyo Station,"Tokyo Station celebrated its centenary in 2014 with a major renovation and expansion. Kingo Tatsuno's original elegant brick building on the Marunouchi side has been expertly restored to include domes faithful to the original design, decorated inside with relief sculptures. It's best viewed straight on from the plaza on Miyuki-dōri.",139.767261,35.680541,
Attractions,Tokyo Tower,"Something of a shameless tourist trap, this 1958-vintage tower – painted bright orange and white in order to comply with international aviation safety regulations – remains a beloved symbol of the city's post-WWII rebirth. At 333m it's 13m taller than the Eiffel Tower, which was the inspiration for its design. Access to the main observation deck at 150m is anytime, but if you want to go to the top deck (250m) a reservation for an allocated time slot is required.",139.74545,35.658508,https://lonelyplanetimages.imgix.net/a/g/hi/t/cbc87ead05fdf8607cc5429f85e26032-tokyo-tower.jpg?fit=crop&w=320&h=140
Nightlife,Fuglen Tokyo,"This Tokyo outpost of a long-running Oslo coffee shop serves light-roast coffee by day (from ¥360) and some of the city's most creative cocktails (from ¥1250) by night (Wednesday to Sunday). It's Tomigaya's principal gathering spot, with indoor and outdoor seating. Fuglen often hosts events with special food and drink or music; check the website.",139.692514,35.666588,
Restaurants,Rokurinsha,Rokurinsha's speciality is tsukemen – ramen noodles served on the side with a bowl of concentrated soup for dipping. The noodles here are thick and perfectly al dente and the soup has a rich tonkotsu (pork bone) base. It's an addictive combination that draws lines to this outpost in Tokyo Sky Tree Town.,139.811325,35.710176,
Attractions,Tokyo Big Sight,"Officially known as Tokyo International Exhibition Hall, Tokyo Big Sight has striking architecture including four huge upside-down pyramids. Look outside for the giant sculpture, Saw, Sawing, by Claes Oldenburg and Coosje van Bruggen.",139.794115,35.629797,
Attractions,The Container,"Quite possibly the city's tiniest art gallery, the Container is literally a shipping container located within a hair salon (Bross Tokyo). Really, it doesn't get more Tokyo than that. Installations feature contemporary artists, both Japanese and international.",139.700099,35.646198,
Entertainment,Loft,The chequerboard stage here has hosted the feedback and reverb of countless Tokyo indie and punk bands over the (four-plus!) decades since Loft got its start.,139.702616190897,35.695304894775,
Shopping,Tokyo Character Street,"From Doraemon to Hello Kitty and Pikachu, Japan knows kawaii (cute) and how to merchandise it. In the basement on the Yaesu side of Tokyo Station, some 15 Japanese TV networks and toy manufacturers operate stalls selling official plush toys, sweets and accessories.",139.76842,35.681222,
Restaurants,Hibiki,"Hibiki has big picture windows overlooking Tokyo Bay and Rainbow Bridge. It is a chain, but it's a reliable one. The lunch set, which includes a main, such as soba or kaisen-don (sashimi on rice), and a small salad bar is a good deal. In the evening there's grilled wagyū (Japanese beef) and fresh tofu (and a ¥570 cover charge).",139.773534,35.627786,
Attractions,Tokyo Midtown Design Hub,"This gallery hosts interesting exhibitions around various themes but usually involving graphic design. Some exhibitions tackle social issues, while others facilitate dialogue between disciplines.",139.73044,35.66624,
Restaurants,Tokyo Rāmen Street,"Eight hand-picked rāmen-ya operate branches in this basement arcade on the Yaesu side of Tokyo Station. All the major styles are covered – from shōyu (soy-sauce base) to tsukemen (cold noodles served on the side). Long lines form outside the most popular shops, but they tend to move quickly.",139.768195,35.680429,
Information,Tokyo Regional Immigration Bureau,Tokyo Regional Immigration Bureau handles applications for work visas and tourist-visa extensions (only available for select nationalities). Take bus 99 from Shinagawa station's Kōnan exit; otherwise it's a 15-minute walk from Tennōzu Isle station.,139.756629,35.628123,
Attractions,St Mary's Cathedral Tokyo,"Rising nearly 40m high and glistening in the sun, this stainless-steel contemporary cathedral was completed in 1955. It's the work of Japan's foremost modern architect, Tange Kenzō, and structural and acoustic engineers from the University of Tokyo. The pipe organ was specially designed for the cathedral; free 'organ meditation' sessions are held monthly.",139.725044,35.715072,
Restaurants,Tonki,"Tonki is a Tokyo tonkatsu (crumbed pork cutlet) legend, deep-frying pork cutlets, recipe unchanged, for nearly 80 years. The seats at the counter – where you can watch the perfectly choreographed chefs – are the most coveted, though there is usually a queue. There are tables upstairs.",139.713907,35.633843,
Restaurants,Viron,Tokyo's best French bakery (it apparently imports the flour from the motherland) serves up sandwiches and pastries to take away or you can eat them in the cafe upstairs if you want to spring for a drink.,139.697138,35.660495,https://lonelyplanetimages.imgix.net/a/g/hi/t/40d076dcc37d4d8cd2b36e1f21d46f86-lpl-img_0135.jpg?fit=crop&w=320&h=140
Restaurants,Sagatani,"Proving that Tokyo is only expensive to those who don't know better, this all-night joint serves up bamboo steamers of delicious noodles for just ¥320. You won't regret 'splurging' on the ごまだれそば (goma-dare soba; buckwheat noodles with sesame dipping sauce) for ¥450. Look for the stone mill in the window and order from the vending machine.",139.696923,35.660373,https://lonelyplanetimages.imgix.net/a/g/hi/t/288793e1339d8214b1acdc8ead07f554-lpl-img_0113.jpg?fit=crop&w=320&h=140
Shopping,Nuno,"Nuno's innovative fabrics, incorporating objects from feathers to washi (Japanese handmade paper), have appeared in exhibitions around the world, including one at New York’s Museum of Modern Art, and in high-end hotel interiors. There are bolts of fabric here for serious buyers, but also scarves, shirts and bags for casual shoppers.",139.736629,35.661357,
Attractions,Nihombashi,"Guarded by bronze lions and dragons, this handsome 1911-vintage granite bridge over Nihombashi-gawa is partly obscured by the overhead expressway. During the Edo period this was the beginning of the great trunk roads (the Tōkaidō, the Nikkō Kaidō etc) that took daimyō (feudal lords) between the capital and their home provinces. It's still the point from which distances to Tokyo are measured.",139.774482,35.684002,https://lonelyplanetimages.imgix.net/a/g/hi/t/7b0327630009e5fa8c5102199b755555-lpl-img_0402.jpg?fit=crop&w=320&h=140
Entertainment,Uplink,"Watching indies here feels a bit like hanging out in a friend's basement; with just 40 comfy, mismatched seats, Uplink is officially Tokyo's smallest theatre. Uplink screens artsy domestic and foreign films (subtitled in Japanese). On weekdays students pay just ¥1100.",139.694757,35.662831,
Entertainment,Crocodile,"Decked out in neon, mirrors and chrome, Crocodile is a classic dive. Live music of all sorts plays here nightly (from rock to reggae to Latin), but the most popular event is the English comedy night put on by Tokyo Comedy Store on the last Friday of the month (admission ¥1500, plus drink order). Advanced bookings are recommended; see www.tokyocomedy.com/improvazilla_main_stage_show.",139.70289,35.66464,
Shopping,Muji,"The flagship store of the famously understated brand sells elegant, simple clothing, accessories, homewares and food. There are scores of outlets across Tokyo, but the Yūrakuchō store, renovated in 2017, is the largest with the biggest range. It also offers tax-free shopping, bicycle rental (per day ¥1080 from 10am to 8pm; passport required) and a great cafeteria.",139.764526,35.674747,https://lonelyplanetimages.imgix.net/a/g/hi/t/e15f9e0914dd00eeaeedcda1c61d4a99-lpl-00543.jpg?fit=crop&w=320&h=140
Restaurants,Gonpachi,"This cavernous old Edo-style space (said to have inspired a memorable set in Quentin Tarantino's Kill Bill) is a Tokyo dining institution, with other less-memorable branches scattered around the city. Kushiyaki (charcoal-grilled skewers) are served here alongside noodles, tempura and sushi.",139.723574,35.659981,
Restaurants,Botan,"Botan has been making a single, perfect dish in the same traditional wooden house since the 1890s. Sit cross-legged on rattan mats as chicken sukiyaki (meat cooked in broth with vegetables) simmers over a charcoal brazier next to you, allowing you to take in the scent of prewar Tokyo. Try to get a seat in the handsome upstairs dining room.",139.768925,35.696454,
Shopping,Books Kinokuniya Tokyo,"A longtime lifeline for Tokyo expats, Kinokuniya stocks a broad selection of foreign-language books and magazines. Particularly of note is its fantastic collection of books on Japan in English and Japanese literature in translation; we love the notes handwritten by the staff with their recommendations.",139.702535,35.685936,https://lonelyplanetimages.imgix.net/a/g/hi/t/dd58d038509a4596863355db655812f3-lpl-00557.jpg?fit=crop&w=320&h=140
Shopping,Solamachi,"It's not all cheesy Sky Tree swag at this mall under the tower (though you can get 634m-long rolls of Sky Tree toilet paper). Shops on the 4th floor offer a better-than-usual selection of Japanesey souvenirs, including pretty trinkets made from kimono fabric and quirky fashion items.",139.811196,35.710123,
Attractions,Tokyo Dai-jingū,"This is the Tokyo branch of Ise-jingū, Japan's mother shrine in Mie Prefecture. Credited with establishing the Shintō wedding ritual, Tokyo Dai-jingū is a popular pilgrimage site for young Tokyoites hoping to get hitched and does a brisk business in marriage charms.",139.746866,35.699686,
Restaurants,Harukiya,"Harukiya, open since 1949, is one of Tokyo's oldest existent ramen shops. It serves what has since come to be known as classic Tokyo-style ramen: with stock made of chicken and fish, seasoned with soy sauce, and with crinkly, doughy noodles.",139.622455,35.705053,
Entertainment,Tokyo Bunka Kaikan,"The Tokyo Metropolitan Symphony Orchestra and the Tokyo Ballet both make regular appearances at this concrete bunker of a building designed by Maekawa Kunio, an apprentice of Le Corbusier. Prices vary wildly; look out for monthly morning classical-music performances that cost only ¥500. The gorgeously decorated auditorium, with cloud-shaped acoustic panels on the wall, has superb acoustics.",139.775341,35.714227,
Shopping,Souvenir from Tokyo,"There's always an expertly curated, and ever-changing, selection of home-grown design bits and bobs that make for unique souvenirs at this shop in the basement of the National Art Center Tokyo.",139.726224,35.665054,
Shopping,Uniqlo,"This now-global brand has made its name by sticking to the basics and tweaking them with style. Offering inexpensive, quality clothing, this is the Tokyo flagship store with 11 floors and items you won't find elsewhere.",139.763603,35.669988,https://lonelyplanetimages.imgix.net/a/g/hi/t/78108148f6a24f5da6006be533e95627-lpl-img_0749.jpg?fit=crop&w=320&h=140
Attractions,Bunkamura,"Meaning ‘culture village’, Bunkamura has a theatre, concert hall, cinema and museum. Offerings swing between commercial and artsy; the Tokyo Philharmonic Orchestra plays the concert hall, Orchard Hall, several times a year.",139.695733,35.660504,
Attractions,Tokyo Sea Life Park,"Tokyo Sea Life Park is the city's best aquarium. Particularly interesting is the exhibit that re-creates Tokyo Bay's ecosystem – in case you were wondering what lived in these waters. There is also a doughnut-shaped tank filled with sleek, silvery bluefin tuna.",139.86042,35.64265,
Restaurants,Numazukō,"This is one of Tokyo's better kaiten-sushi (conveyor-belt sushi restaurants), with fish sourced daily from the fish market in Numazu (south of Tokyo on Sagami-wan). Its popularity means that few plates make it around the long, snaking belt without getting snatched up (you can also order directly from the menu).",139.703071,35.690328,
Attractions,Tokyo Station Gallery,"Within the north end of the original Tokyo Station brick building, this small museum mounts regularly changing exhibitions sometimes based around JR's own art collection, sometimes on themes connected to the railway. Admission prices depend on the exhibition.",139.766618,35.682329,
Attractions,Heiseikan,"Part of the Tokyo National Museum, this building houses the Japanese Archaeological Gallery, full of pottery, talismans and articles of daily life from Japan's prehistoric periods. The museum's temporary exhibitions (which cost extra) are held here; these can be fantastic, but sometimes lack the English signage found throughout the rest of the museum.",139.775961,35.719848,
Attractions,Dōgenzaka,"Dōgenzaka, named for a 13th-century highway robber, is a maze of narrow streets. Home to one of Tokyo's largest clusters of love hotels (hotels for amorous encounters), it's also known as Love Hotel Hill. It's more than a little seedy, but some of the older hotels have fantastical (if not a bit chipped and crumbling) facades.",139.69600373634,35.6588616987943,
Shopping,Mitsukoshi,"One of Ginza's grande dames, Mitsukoshi embodies the essence of the Tokyo department store. Don't miss the basement food hall. The homewares selection on the 7th floor is good for ceramics and other artisan pieces.",139.765373,35.671191,
